id_pagamento,id_fatura,id_cliente,data_pagamento,valor_pagamento
PG-1-1,1-1,1,2023-01-27,8944.39
PG-1-2,1-2,1,2023-03-05,16888.91
PG-1-4,1-4,1,2023-04-30,565.46
PG-1-5,1-5,1,2023-05-03,18580.12
PG-1-8,1-8,1,2023-08-02,15833.3
PG-1-9,1-9,1,2023-09-10,2281.7
PG-1-11,1-11,1,2023-11-28,2874.04
PG-1-12,1-12,1,2023-12-20,25992.53
PG-1-13,1-13,1,2024-01-05,21861.15
PG-2-1,2-1,2,2023-01-27,52038.56
PG-2-2,2-2,2,2023-02-14,30275.06
PG-2-3,2-3,2,2023-03-29,13017.43
PG-2-4,2-4,2,2023-04-14,13961.14
PG-2-5,2-5,2,2023-05-30,6763.26
PG-2-6,2-6,2,2023-07-06,39229.23
PG-2-7,2-7,2,2023-08-03,27022.81
PG-2-9,2-9,2,2023-10-05,6377.71
PG-2-10,2-10,2,2023-10-03,8997.54
PG-2-11,2-11,2,2023-11-15,14927.6
PG-2-12,2-12,2,2024-01-02,5786.74
PG-2-13,2-13,2,2024-01-05,5623.38
PG-3-1,3-1,3,2023-02-01,1164.89
PG-3-2,3-2,3,2023-02-09,24649.97
PG-3-3,3-3,3,2023-03-19,9569.25
PG-3-4,3-4,3,2023-04-27,17975.28
PG-3-5,3-5,3,2023-05-05,22680.85
PG-3-6,3-6,3,2023-06-19,33193.25
PG-3-7,3-7,3,2023-07-10,9622.25
PG-3-8,3-8,3,2023-08-24,23607.67
PG-3-9,3-9,3,2023-10-09,40733.43
PG-3-11,3-11,3,2023-11-25,18783.1
PG-4-1,4-1,4,2023-02-01,395.32
PG-4-2,4-2,4,2023-02-04,3567.06
PG-4-3,4-3,4,2023-03-05,2671.08
PG-4-4,4-4,4,2023-05-06,6161.64
PG-4-5,4-5,4,2023-05-28,24062.21
PG-4-6,4-6,4,2023-06-28,28146.33
PG-4-7,4-7,4,2023-07-30,12668.04
PG-4-8,4-8,4,2023-08-22,2038.99
PG-4-9,4-9,4,2023-09-06,39436.02
PG-4-10,4-10,4,2023-10-03,16363.85
PG-4-11,4-11,4,2023-11-06,28499.35
PG-4-12,4-12,4,2023-12-05,220.65
PG-5-1,5-1,5,2023-01-03,51838.18
PG-5-2,5-2,5,2023-02-11,26894.36
PG-5-3,5-3,5,2023-04-06,47868.3
PG-5-4,5-4,5,2023-04-29,29564.63
PG-5-5,5-5,5,2023-05-26,38210.63
PG-5-6,5-6,5,2023-06-03,9778.93
PG-5-8,5-8,5,2023-08-12,14741.49
PG-5-10,5-10,5,2023-10-29,2066.7
PG-5-11,5-11,5,2023-12-05,39282.0
PG-5-12,5-12,5,2024-01-03,1225.99
PG-5-13,5-13,5,2024-01-16,127.66
PG-6-1,6-1,6,2023-01-13,1863.12
PG-6-2,6-2,6,2023-02-03,1975.77
PG-6-4,6-4,6,2023-04-24,4726.15
PG-6-5,6-5,6,2023-06-04,31203.66
PG-6-7,6-7,6,2023-07-29,5866.29
PG-6-9,6-9,6,2023-09-03,2488.02
PG-7-1,7-1,7,2023-01-23,43251.08
PG-7-3,7-3,7,2023-03-05,2026.32
PG-7-4,7-4,7,2023-04-05,3763.98
PG-7-5,7-5,7,2023-05-02,36878.26
PG-7-7,7-7,7,2023-07-16,30890.5
